year,name,value,group
2010,Quiksee,10000000,low
2005,Current Communications Group,100000000,low
2007,FeedBurner,100000000,low
2010,Like.com,100000000,low
2012,Meebo,100000000,low
2006,dMarc Broadcasting,102000000,low
2011,DailyDeal,114000000,low
2013,Channel Intelligence,125000000,low
2011,Motorola Mobility,12500000000,high
2009,On2,133000000,low
2007,Marratech,15000000,low
2008,Omnisio,15000000,low
2011,Zagat,151000000,low
2006,YouTube,1650000000,medium
2010,Slide.com,228000000,low
2007,Adscape,23000000,low
2013,FlexyCore,23000000,low
2010,DocVerse,25000000,low
2011,PushLife,25000000,low
2012,Sparrow,25000000,low
2006,Endoxon,28000000,low
2009,Gizmo5,30000000,low
2010,BumpTop,30000000,low
2013,Wavii,30000000,low
2007,DoubleClick,3100000000,high
2014,"Nest Labs, Inc",3200000000,high
2013,Flutter,40000000,low
2011,Admeld,400000000,medium
2007,GrandCentral,45000000,low
2012,Viewdle,45000000,low
2012,Wildfire Interactive,450000000,medium
2005,Android,50000000,low
2010,Aardvark,50000000,low
2007,Postini,625000000,medium
2014,DeepMind Technologies,650000000,medium
2010,ITA Software,676000000,medium
2010,Global IP Solutions,68200000,low
2010,Jambool,70000000,low
2009,AdMob,750000000,high
2010,Invite Media,81000000,low
2013,Waze,966000000,high